,economic growth,recession,GDP,inflation,deflation,unemployment,interest rate,exchange rate,monetary policy,fiscal policy,financial crisis,banking crisis,credit crunch,liquidity crisis,sovereign debt crisis,market crash,stock market crash,bear market,volatility,VIX,stock market,equities,bonds,commodities,oil price,gold price,exchange rate volatility,geopolitical risk,war,terrorism,sanctions,oil shock,market sentiment,investor sentiment,fear index,panic,uncertainty,risk aversion
economic growth,1.0,0.09384179026810434,0.8595533084834671,0.7758282441328804,0.0922037992157903,-0.17155987110708398,0.6249809287534563,0.6528071115320373,0.7600243211674224,0.7409101172617635,0.16448245106876697,0.32294598639556416,-0.07083070406053475,0.6494854928119712,0.2699012842591272,0.5644781789368135,0.3769916711876302,0.5744364340321666,0.8682128657522824,0.5322420105126542,0.5488019115675655,0.784224089617289,0.5205997291402992,0.3408759046024446,0.6142792959685788,0.5913911677554736,,,0.4189578315433969,0.2835417593332156,0.7955891544109831,0.6174153036298838,0.7758357252938031,0.7550664601941504,0.532398862888336,0.0719813688009337,0.8624925851810937,0.682610182257015
recession,0.09384179026810434,1.0,0.2669844150967499,0.33956227757104257,0.49294233509757573,0.19945030119984591,0.30664008682622373,0.12302228033985338,0.11679069845798956,0.16339693637834946,0.6375746191635098,0.41359387699670863,0.5738013081971992,0.4264511074663283,0.08333976411879909,0.3444343240250455,0.23998688528266449,0.548548383894228,0.17116903629088706,0.3263650853532863,0.44334220365705895,-0.06766732301178068,-0.015119806104434556,0.17720113512748611,0.3389508512729052,0.2622908816787744,,,0.014767514391387402,-0.2669177708201554,0.14765605087033876,0.15829067274857878,0.1661958158967093,0.15455089057997842,0.2160234439659308,-0.08979765775322958,0.1851832582747844,0.11205018103290072
GDP,0.8595533084834671,0.2669844150967499,1.0,0.8904610255110567,0.10852626310569762,-0.040901154085816196,0.8620307942684169,0.602229597629895,0.7488282167163585,0.7037830051082661,0.18691894206209975,0.3174410398074299,-0.0607352381995378,0.6620824217321439,0.199357170002305,0.6513461769215743,0.33794411642349237,0.6827295024138471,0.8938868958612487,0.756762804804116,0.7214287590941532,0.6455224728871742,0.276514371690275,0.12707714687651403,0.7395554133591307,0.8262344997760386,,,0.16641694385195835,-0.03253480155995513,0.8734400426594143,0.5916820487062051,0.8786238422740934,0.8501349488756801,0.7567251892580147,-0.12571532654759782,0.8084884961979244,0.5846963054241323
inflation,0.7758282441328804,0.33956227757104257,0.8904610255110567,1.0,0.06787990592356061,-0.15661821784608632,0.8728773724486879,0.4937474383725224,0.7009871575707282,0.6606674401160184,0.1302633069238522,0.3075091708556128,-0.033796527539456826,0.6069147469193058,0.16525930844821013,0.6354965911081284,0.27744677360840936,0.7389667224953634,0.8071726308328557,0.8036902985717576,0.655672083503676,0.572838049240325,0.2647096925989225,0.14267502450574754,0.7381349936439593,0.7583135317576013,,,0.1328345314519504,-0.13576084290335114,0.812734706150301,0.5863667208216462,0.7745251509444451,0.7562033779714837,0.8092182851470294,-0.11416697722160718,0.7445450382682499,0.512792564338804
deflation,0.0922037992157903,0.49294233509757573,0.10852626310569762,0.06787990592356061,1.0,0.1850063359680788,-0.0010718793340471172,0.197396253942531,0.07915594835766286,0.15876271460959054,0.6619339413061311,0.328771899574571,0.5623540148312518,0.37855042985129445,0.0801937254136475,0.10754887813224868,0.14303920288174732,0.1945844203067412,0.13560733093975202,0.022144565673095296,0.1555593181807799,0.025824443035449157,0.10693544552500074,0.24829593912783363,0.22953594443799236,0.024764207657202972,,,0.23321195354382002,0.007004774856114257,0.06672336130360057,0.17740249195369195,0.09528685738611174,0.10314660351615328,-0.035917205147016004,-0.012689468107997722,0.16254579478836362,0.14232284480060134
unemployment,-0.17155987110708398,0.19945030119984591,-0.040901154085816196,-0.15661821784608632,0.1850063359680788,1.0,-0.037372201417455404,-0.1753880374826175,-0.07573676815274108,-0.033364271773659936,0.13437895942185843,-0.05755086829237999,0.06361535269914345,0.008221409374609025,0.041722388859936684,0.11293128939604519,0.10494987871110979,0.08212083116023652,-0.0416817606547945,-0.049234527164555154,0.25836921366482474,-0.14749626195306426,-0.11336238122061346,-0.019789234340319144,0.09266021778561409,0.1537489466872675,,,-0.14168366532812626,-0.17046661538168356,-0.0964819203636765,-0.03208848124094604,-0.06391988293952588,-0.04892776146575427,-0.06134772325604491,-0.0910166719321565,-0.022078498703101593,-0.036639120956022765
interest rate,0.6249809287534563,0.30664008682622373,0.8620307942684169,0.8728773724486879,-0.0010718793340471172,-0.037372201417455404,1.0,0.35423751700241607,0.5764751159368832,0.5366178241041862,0.010172820599732773,0.22808069636605616,-0.13291462299394127,0.5036337455858635,0.030965508836087733,0.6572071693374537,0.28360095816776437,0.6847019830712938,0.6906009106906441,0.889721646943178,0.7460157711482326,0.40163484152301493,0.02770715280154676,-0.1389755881645553,0.6980624293132576,0.8622072032785477,,,-0.11189703940520228,-0.30683422732914084,0.7394520393303363,0.46898937169785804,0.6983090650239681,0.6615258094086098,0.8242957415876518,-0.24964983483332887,0.6214607697152734,0.41011216489796737
exchange rate,0.6528071115320373,0.12302228033985338,0.602229597629895,0.4937474383725224,0.197396253942531,-0.1753880374826175,0.35423751700241607,1.0,0.6265478473845432,0.5743717969065577,0.29069771984286025,0.3170394157371186,0.15290517848576438,0.6088155473182091,0.1259032515658534,0.3290232119646251,0.23680613103952208,0.4070473924285578,0.7308121193835962,0.21685450131558628,0.3385946173191926,0.7329123347132038,0.4486278237897224,0.4114786153331334,0.453638135927179,0.3136373266118307,,,0.40136464705918606,0.3429819783553064,0.5453818355676311,0.37512120644496216,0.6854890996108282,0.6969161110407794,0.21464827702120778,0.17234884584918772,0.530252039147829,0.41388158670704744
monetary policy,0.7600243211674224,0.11679069845798956,0.7488282167163585,0.7009871575707282,0.07915594835766286,-0.07573676815274108,0.5764751159368832,0.6265478473845432,1.0,0.6104290082757262,0.1474235994543115,0.23696203446293987,-0.06444542948406484,0.5498854524615298,0.19176735180490345,0.5089192699921332,0.3044855656344254,0.5595682676754992,0.7687220953584494,0.47683704633740853,0.49140804228257606,0.625606779226248,0.3269054033595121,0.19604965283682724,0.5639937600672617,0.5926589076269546,,,0.28879323590306016,0.21965313075949536,0.7044396732402213,0.5055619519804464,0.722752898360251,0.7113757911722272,0.5306930776199976,-0.05558357934611443,0.6558984772156703,0.5662550357743439
fiscal policy,0.7409101172617635,0.16339693637834946,0.7037830051082661,0.6606674401160184,0.15876271460959054,-0.033364271773659936,0.5366178241041862,0.5743717969065577,0.6104290082757262,1.0,0.2332588312200031,0.29218996938634595,-0.026014737805198373,0.6735117123773005,0.3773697677649265,0.42566339780976986,0.19596827957452279,0.5779881644204643,0.8513440608549055,0.485010273032055,0.4960758388136338,0.5976094286473939,0.21565241271742433,0.18616017023953188,0.7054358056095261,0.5861537286369611,,,0.200837957601226,0.003858493317241947,0.7162415356457003,0.7588608872468562,0.6983837357409989,0.6980377571893376,0.4736248466759021,0.026295097565826486,0.8378042705806494,0.6587365226730724
